textEn,textHi,optA_En,optB_En,optC_En,optD_En,optA_Hi,optB_Hi,optC_Hi,optD_Hi,correctIndex,solutionEn,solutionHi,subject,marksPerQuestion,negativeMarks
"Which district of Rajasthan is known as the 'City of Lakes'?","राजस्थान के किस जिले को 'झीलों की नगरी' कहा जाता है?","Jaipur","Udaipur","Jodhpur","Ajmer","जयपुर","उदयपुर","जोधपुर","अजमेर",1,"Udaipur is known as the City of Lakes due to its sophisticated lake system.","उदयपुर को इसकी परिष्कृत झील प्रणाली के कारण झीलों की नगरी कहा जाता है।","General Knowledge",1.0,0.33
"Who was the first Chief Minister of Rajasthan?","राजस्थान के प्रथम मुख्यमंत्री कौन थे?","Mohan Lal Sukhadia","Jai Narayan Vyas","Hiralal Shastri","Tikaram Paliwal","मोहन लाल सुखाड़िया","जय नारायण व्यास","हीरालाल शास्त्री","टीकाराम पालीवाल",2,"Hiralal Shastri was the first Chief Minister of Rajasthan.","हीरालाल शास्त्री राजस्थान के प्रथम मुख्यमंत्री थे।","General Knowledge",1.0,0.33
"The Khejri tree is worshipped on which festival?","खेजड़ी वृक्ष की पूजा किस पर्व पर की जाती है?","Holi","Diwali","Dussehra","Teej","होली","दीपावली","दशहरा","तीज",2,"Khejri tree is worshipped on Dussehra.","दशहरा पर खेजड़ी वृक्ष की पूजा की जाता है।","General Knowledge",1.0,0.33
"Where is the Desert National Park located?","मरु राष्ट्रीय उद्यान कहाँ स्थित है?","Jaisalmer","Barmer","Jodhpur","Bikaner","जैसलमेर","बाड़मेर","जोधपुर","बीकानेर",0,"Desert National Park is located in Jaisalmer and Barmer districts.","मरु राष्ट्रीय उद्यान जैसलमेर और बाड़मेर जिलों में स्थित है।","General Knowledge",1.0,0.33
"What is the chemical formula of common salt?","साधारण नमक का रासायनिक सूत्र क्या है?","NaOH","NaCl","HCl","Na2CO3","NaOH","NaCl","HCl","Na2CO3",1,"Common salt is Sodium Chloride (NaCl).","साधारण नमक सोडियम क्लोराइड (NaCl) है।","General Science",2.0,0.66
"Which gas is evolved when acid reacts with metal?","अम्ल की धातु के साथ क्रिया करने पर कौन सी गैस निकलती है?","Oxygen","Nitrogen","Hydrogen","Carbon Dioxide","ऑक्सीजन","नाइट्रोजन","हाइड्रोजन","कार्बन डाइऑक्साइड",2,"Hydrogen gas is evolved.","हाइड्रोजन गैस निकलती है।","General Science",2.0,0.66
"The unit of power is:","शक्ति का मात्रक है:","Joule","Watt","Newton","Pascal","जूल","वाट","न्यूटन","पास्कल",1,"The SI unit of power is Watt.","शक्ति का SI मात्रक वाट है।","General Science",2.0,0.66
"What is the pH value of pure water?","शुद्ध जल का pH मान क्या होता है?","0","7","14","1","0","7","14","1",1,"Pure water is neutral with pH 7.","शुद्ध जल उदासीन होता है और इसका pH मान 7 होता है।","General Science",2.0,0.66
"Red blood cells are formed in:","लाल रक्त कणिकाएं कहाँ बनती हैं?","Liver","Heart","Bone Marrow","Kidney","यकृत","हृदय","अस्थि मज्जा","वृक्क",2,"RBCs are formed in the red bone marrow.","RBC का निर्माण लाल अस्थि मज्जा में होता है।","General Science",2.0,0.66
"If the side of a square is doubled, its area becomes:","यदि किसी वर्ग की भुजा दुगुनी कर दी जाए, तो उसका क्षेत्रफल हो जाएगा:","2 times","3 times","4 times","8 times","2 गुना","3 गुना","4 गुना","8 गुना",2,"If side 'a' becomes '2a', area becomes (2a)^2 = 4a^2.","यदि भुजा 'a' '2a' हो जाती है, तो क्षेत्रफल (2a)^2 = 4a^2 हो जाता है।","Mathematics",3.0,1.0
"Simplification: 5 + 5 / 5 = ?","सरलीकरण: 5 + 5 / 5 = ?","2","6","1","10","2","6","1","10",1,"Using BODMAS, 5 / 5 = 1, then 5 + 1 = 6.","BODMAS का उपयोग करते हुए, 5 / 5 = 1, फिर 5 + 1 = 6.","Mathematics",3.0,1.0
"Find the average of first 5 natural numbers.","प्रथम 5 प्राकृत संख्याओं का औसत ज्ञात कीजिए।","2","3","4","5","2","3","4","5",1,"(1+2+3+4+5)/5 = 15/5 = 3.","(1+2+3+4+5)/5 = 15/5 = 3.","Mathematics",3.0,1.0
"Calculate simple interest on 1000 at 10% for 2 years.","1000 पर 2 वर्ष के लिए 10% की दर से साधारण ब्याज ज्ञात करें।","100","200","300","400","100","200","300","400",1,"SI = (P*R*T)/100 = (1000*10*2)/100 = 200.","SI = (P*R*T)/100 = (1000*10*2)/100 = 200.","Mathematics",3.0,1.0
