"textEn","textHi","optA_En","optB_En","optC_En","optD_En","optA_Hi","optB_Hi","optC_Hi","optD_Hi","correctIndex","solutionEn","solutionHi","subject","marksPerQuestion","negativeMarks"
"The mean deviation from the median for the following data is - 34, 66, 30, 38, 44, 50, 40, 60, 42, 51 [cite: 100, 101]","दिये गये आँकडों के लिए माध्यिका से माध्य विचलन है - 34, 66, 30, 38, 44, 50, 40, 60, 42, 51 [cite: 102, 103, 104]","8.7 [cite: 113]","8.8 [cite: 115]","8.9 [cite: 114]","9.0 [cite: 116]","8.7 [cite: 113]","8.8 [cite: 115]","8.9 [cite: 114]","9.0 [cite: 116]","0","Median is 43. Mean deviation = 87 / 10 = 8.7.","माध्यिका 43 है। माध्य विचलन = 87 / 10 = 8.7.","Maths","1","0.33"
"The diameter of a circle is 105 cm less than its circumference. The radius of the circle is - [cite: 105, 106]","एक वृत्त का व्यास उसकी परिधि से 105 सेमी कम है, तो वृत्त की त्रिज्या है - [cite: 111, 112, 133]","22 cm [cite: 107]","23 cm [cite: 108]","24 cm [cite: 110]","24.5 cm [cite: 109]","22 सेमी [cite: 131]","23 सेमी [cite: 134]","24 सेमी [cite: 132]","24.5 सेमी [cite: 135]","3","2πr - 2r = 105 => 2r(22/7 - 1) = 105 => r = 24.5.","2πr - 2r = 105 => 2r(22/7 - 1) = 105 => r = 24.5.","Maths","1","0.33"
"The mean and median of a frequency distribution are 52 and 55 respectively. What is the mode of the distribution ? [cite: 117, 118]","किसी आवृत्ति आबंटन में माध्य तथा माध्यिका क्रमशः 52 तथा 55 हैं, तो आबंटन का बहुलक क्या है ? [cite: 118]","61 [cite: 119]","53.5 [cite: 121]","53 [cite: 120]","54 [cite: 121]","61 [cite: 119]","53.5 [cite: 121]","53 [cite: 120]","54 [cite: 121]","0","Mode = 3*Median - 2*Mean = 3(55) - 2(52) = 61.","बहुलक = 3*माध्यिका - 2*माध्य = 3(55) - 2(52) = 61.","Maths","1","0.33"
"Two identical cubes each of volume 64 cm³ are joined together end to end to form a cuboid, the total surface area of the cuboid is - [cite: 122, 123]","दो समान घन जिसके प्रत्येक का आयतन 64 सेमी³ है के छोरों को जोड़कर एक घनाभ बनाया जाता है, तो घनाभ का कुल पृष्ठीय क्षेत्रफल है - [cite: 153, 155, 156]","80 cm² [cite: 124, 125]","160 cm² [cite: 127, 128]","320 cm² [cite: 126]","640 cm² [cite: 129]","80 सेमी² [cite: 160]","160 सेमी² [cite: 161]","320 सेमी² [cite: 162]","640 सेमी² [cite: 163]","1","Side a = 4. Cuboid dimensions: 8x4x4. Total Surface Area = 2(32+16+32) = 160.","भुजा a = 4. घनाभ के आयाम: 8x4x4. कुल पृष्ठीय क्षेत्रफल = 2(32+16+32) = 160.","Maths","1","0.33"
"An observer 1.5 m tall is 20.5 m away from a tower 22 m high. The angle of elevation of the top of the tower from the eye of the observer is - [cite: 136, 137]","1.5 मी लम्बा प्रेक्षक 22 मी ऊँचे टॉवर से 20.5 मी दूर है । प्रेक्षक की आँखों से टॉवर के शीर्ष का उन्नयन कोण है - [cite: 138, 139, 140]","30° [cite: 141, 142]","45° [cite: 146, 147]","60° [cite: 143]","75° [cite: 148, 149]","30° [cite: 141, 142]","45° [cite: 146, 147]","60° [cite: 143]","75° [cite: 148, 149]","1","Height difference = 22 - 1.5 = 20.5. Base = 20.5. tan(θ) = 1 => θ = 45°.","ऊंचाई का अंतर = 22 - 1.5 = 20.5. आधार = 20.5. tan(θ) = 1 => θ = 45°.","Maths","1","0.33"
"The value 50° in radians is - [cite: 150]","50° का रेडियन में मान है - [cite: 151]","50π [cite: 152]","5π [cite: 154]","5π/9 [cite: 157, 158]","5π/18 [cite: 159]","50π [cite: 152]","5π [cite: 154]","5π/9 [cite: 157, 158]","5π/18 [cite: 159]","3","50° * (π / 180) = 5π/18.","50° * (π / 180) = 5π/18.","Maths","1","0.33"
"The total surface area of a cube is 1014 square meter. What is the length of its side? [cite: 172]","एक घन का सम्पूर्ण पृष्ठीय क्षेत्रफल 1014 वर्ग मीटर है। घन की भुजा की लम्बाई क्या है ? [cite: 169, 170, 171]","6 m [cite: 173]","169 m [cite: 166]","13 m [cite: 167]","11 m [cite: 168]","6 मी [cite: 183]","169 मी [cite: 184]","13 मी [cite: 187]","11 मी [cite: 188]","2","6a² = 1014 => a² = 169 => a = 13.","6a² = 1014 => a² = 169 => a = 13.","Maths","1","0.33"
"The ratio of curved surface area of two spheres is 4:9. What is the ratio of their volumes? [cite: 175, 179]","दो गोलों के वक्र पृष्ठीय क्षेत्रफल का अनुपात 4:9 है। उनके आयतनों का अनुपात क्या है ? [cite: 177, 178, 180, 181]","9:4 [cite: 185]","8:9 [cite: 186]","8:27 [cite: 189]","27:8 [cite: 190]","9:4 [cite: 185]","8:9 [cite: 186]","8:27 [cite: 189]","27:8 [cite: 190]","2","Area ratio = 4/9 => Radius ratio = 2/3. Volume ratio = (2/3)³ = 8:27.","क्षेत्रफल अनुपात = 4/9 => त्रिज्या अनुपात = 2/3. आयतन अनुपात = (2/3)³ = 8:27.","Maths","1","0.33"
"A cylinder has base radius 7 cm and height 10 cm. What is the volume of a cylinder? [cite: 198, 199]","एक बेलन के आधार की त्रिज्या 7 सेमी तथा ऊँचाई 10 सेमी है। बेलन का आयतन क्या है ? [cite: 204]","1540 cm³ [cite: 200]","770 cm³ [cite: 202, 203]","770π cm³ [cite: 201]","1500 cm³ [cite: 202]","1540 सेमी³ [cite: 205]","770 सेमी³ [cite: 205]","770π सेमी³ [cite: 206]","1500 सेमी³ [cite: 207]","0","Volume = πr²h = (22/7) * 7² * 10 = 1540 cm³.","आयतन = πr²h = (22/7) * 7² * 10 = 1540 सेमी³.","Maths","1","0.33"
"The radius and the height of a cone are in the ratio 1:3 and its volume is 1078 cm³, then its diameter is - [cite: 208]","एक शंकु की त्रिज्या एवं ऊँचाई का अनुपात 1:3 तथा इसका आयतन 1078 सेमी³ है, तब इसका व्यास है - [cite: 213, 214, 215]","3.5 cm [cite: 210]","7 cm [cite: 212]","14 cm [cite: 211]","21 cm [cite: 212]","3.5 सेमी [cite: 216]","7 सेमी [cite: 218]","14 सेमी [cite: 217]","21 सेमी [cite: 218]","2","Volume = (1/3)πr²h. Let r=x, h=3x. (1/3)(22/7)x²(3x) = 1078 => x=7. Diameter = 14 cm.","आयतन = (1/3)πr²h. माना r=x, h=3x. (1/3)(22/7)x²(3x) = 1078 => x=7. व्यास = 14 सेमी.","Maths","1","0.33"
