"textEn","textHi","optA_En","optB_En","optC_En","optD_En","optA_Hi","optB_Hi","optC_Hi","optD_Hi","correctIndex","solutionEn","solutionHi","subject","marksPerQuestion","negativeMarks"
"To whom the grant in aid for Panchayati Raj Institutions received from Finance Commission has to be released?","वित्त आयोग से प्राप्त पंचायती राज संस्थाओं के लिए सहायता अनुदान किसे जारी किया जाना है?","Zila Parishad","Panchayat Samiti","Gram Panchayat","State Government","जिला परिषद","पंचायत समिति","ग्राम पंचायत","राज्य सरकार","2","The grant in aid for Panchayati Raj Institutions is released to the Gram Panchayat.","पंचायती राज संस्थाओं के लिए सहायता अनुदान ग्राम पंचायत को जारी किया जाता है।","Rajasthan GK","1","0.33"
"'Tejaji Pashu Mela' of Rajasthan is famous for which one of following breeds?","राजस्थान का 'तेजाजी पशु मेला' निम्नलिखित में से किस नस्ल के लिए प्रसिद्ध है?","Nachna Camel","Murrah Buffalo","Chokhla Sheep","Nagauri Cow","नाचना ऊंट","मुर्रा भैंस","चोखला भेड़","नागौरी गाय","3","The Tejaji Pashu Mela in Parbatsar is famous for the Nagauri breed of cows and bullocks.","परबतसर में तेजाजी पशु मेला गायों और बैलों की नागौरी नस्ल के लिए प्रसिद्ध है।","Rajasthan GK","1","0.33"
"Keoladeo National Park was included in the UNESCO World Heritage List in which year?","केवलादेव राष्ट्रीय उद्यान को यूनेस्को की विश्व धरोहर सूची में किस वर्ष शामिल किया गया था?","1981","1983","1985","1987","1981","1983","1985","1987","2","Keoladeo National Park was declared a UNESCO World Heritage Site in 1985. (Wait, actual year is 1985, let's fix options: 1981, 1983, 1985, 1987)","केवलादेव राष्ट्रीय उद्यान को 1985 में यूनेस्को की विश्व धरोहर स्थल घोषित किया गया था। (वास्तव में यह 1985 है)","Rajasthan GK","1","0.33"
"Rajasthan has 55% of forest area under which type of forest?","राजस्थान में 55% वन क्षेत्र किस प्रकार के वन के अंतर्गत है?","Private forest","Unclassified forest","Reserved forest","Protected forest","निजी वन","अवर्गीकृत वन","आरक्षित वन","संरक्षित वन","3","More than half of Rajasthan's forest area falls under the 'Protected Forest' category.","राजस्थान के आधे से अधिक वन क्षेत्र 'संरक्षित वन' श्रेणी के अंतर्गत आते हैं।","Rajasthan GK","1","0.33"
"In which year was the Drought Prone Area Programme launched?","सूखा प्रवण क्षेत्र कार्यक्रम किस वर्ष शुरू किया गया था?","1973-74","1984-85","1996-97","2001-2002","1973-74","1984-85","1996-97","2001-2002","0","The Drought Prone Area Programme was initiated in 1973-74.","सूखा प्रवण क्षेत्र कार्यक्रम 1973-74 में शुरू किया गया था।","Rajasthan GK","1","0.33"
"Who was the founder ruler of Kota state?","कोटा राज्य के संस्थापक शासक कौन थे?","Rao Deva","Rao Ratan Singh","Madho Singh","Zalim Singh","राव देवा","राव रतन सिंह","माधो सिंह","जालिम सिंह","2","Madho Singh was the first independent ruler of the Kingdom of Kota.","माधो सिंह कोटा राज्य के पहले स्वतंत्र शासक थे।","Rajasthan GK","1","0.33"
"In which Hindu month is Teja Dashmi celebrated in the Vikram Samvat calendar?","विक्रम संवत कैलेंडर में तेजा दशमी किस हिंदू महीने में मनाई जाती है?","Chaitra","Bhadrapada","Kartik","Phalguna","चैत्र","भाद्रपद","कार्तिक","फाल्गुन","1","Teja Dashmi is celebrated on the tenth day of the bright half of Bhadrapada month.","तेजा दशमी भाद्रपद माह के शुक्ल पक्ष की दशमी को मनाई जाती है।","Rajasthan GK","1","0.33"
"Which ornament 'Champakali' is worn on which part of the body?","'चम्पाकली' आभूषण शरीर के किस अंग पर पहना जाता है?","Head","Ear","Neck","Wrist","सिर","कान","गले में","कलाई","2","Champakali is a traditional necklace worn around the neck by Rajasthani women.","चम्पाकली राजस्थानी महिलाओं द्वारा गले में पहना जाने वाला एक पारंपरिक हार है।","Rajasthan GK","1","0.33"
"In which district of Rajasthan is Gajner Wildlife Sanctuary located?","राजस्थान के किस जिले में गजनेर वन्यजीव अभयारण्य स्थित है?","Alwar","Bikaner","Udaipur","Churu","अलवर","बीकानेर","उदयपुर","चूरू","1","Gajner Wildlife Sanctuary is located near Bikaner.","गजनेर वन्यजीव अभयारण्य बीकानेर के पास स्थित है।","Rajasthan GK","1","0.33"
"Which of the following areas of Rajasthan has the Tharparkar breed of cow?","राजस्थान के निम्नलिखित में से किस क्षेत्र में थारपारकर नस्ल की गाय पाई जाती है?","Eastern plains","Southern region","Western arid region","Hadoti region","पूर्वी मैदान","दक्षिणी क्षेत्र","पश्चिमी शुष्क क्षेत्र","हाड़ौती क्षेत्र","2","The Tharparkar breed is predominantly found in the western arid regions of Rajasthan.","थारपारकर नस्ल मुख्य रूप से राजस्थान के पश्चिमी शुष्क क्षेत्रों में पाई जाती है।","Rajasthan GK","1","0.33"
