"textEn","textHi","optA_En","optB_En","optC_En","optD_En","optA_Hi","optB_Hi","optC_Hi","optD_Hi","correctIndex","solutionEn","solutionHi","subject","marksPerQuestion","negativeMarks"
"Fill in the blank with the correct option: Ram as well as his brothers _____ coming today.","रिक्त स्थान भरें: Ram as well as his brothers _____ coming today.","are","were","is","have been","are","were","is","have been","2","When 'as well as' joins two subjects, the verb agrees with the first subject 'Ram' (singular), so 'is' is correct.","'as well as' से जुड़े दो subjects में verb पहले subject के अनुसार होती है, इसलिए 'is' सही है।","English","1","0.33"
"In the question below, a part of the sentence is underlined. Choose the correct alternative: In spite of age he is my senior.","रेखांकित भाग का सही विकल्प चुनें: In spite of age he is my senior.","He is my senior in regard.","In spite of his age, he is my senior.","He is my senior, in keeping his age.","He is my senior, because of age.","He is my senior in regard.","In spite of his age, he is my senior.","He is my senior, in keeping his age.","He is my senior, because of age.","1","The correct form uses possessive 'his age' with the phrase 'In spite of'.","सही रूप में possessive 'his age' का प्रयोग 'In spite of' के साथ होता है।","English","1","0.33"
"Choose the correct option for the underlined part: We have had his speech yesterday.","रेखांकित भाग का सही विकल्प: We have had his speech yesterday.","were having","had","had have","will have had","were having","had","had have","will have had","1","'Yesterday' indicates simple past tense, so 'had' is correct.","'Yesterday' simple past tense दर्शाता है, इसलिए 'had' सही है।","English","1","0.33"
"Fill in the blank with the correct English and Hindi version of the technical term: The officer failed to provide an _____ certificate in time. (अधिकारी समय पर _____ प्रमाणपत्र नहीं दे पाये)","तकनीकी शब्द का सही अंग्रेजी और हिंदी संस्करण: The officer failed to provide an _____ certificate in time.","abetment – दुष्प्रेरण","abnormal demand – अनुचित माँग","abolishment – उन्मूलन","abatement – कटौती","abetment – दुष्प्रेरण","abnormal demand – अनुचित माँग","abolishment – उन्मूलन","abatement – कटौती","3","Abatement means reduction/deduction. Its Hindi equivalent is 'कटौती'.","Abatement का अर्थ है कटौती/कमी। इसका हिंदी समकक्ष 'कटौती' है।","English","1","0.33"
"Fill in the blank with the correct English and Hindi version of the technical term: The chairman was forced to _____ his post. (अध्यक्ष को विवश होकर अपना पद _____ पड़ा)","तकनीकी शब्द: The chairman was forced to _____ his post.","abduct – अगवा करना","abide – दृढ़","abetment – दुष्प्रेरण","abdicate – त्यागना","abduct – अगवा करना","abide – दृढ़","abetment – दुष्प्रेरण","abdicate – त्यागना","3","Abdicate means to give up a position of power. Hindi: त्यागना.","Abdicate का अर्थ है पद त्यागना। हिंदी: त्यागना।","English","1","0.33"
"Fill in the blank with the correct English and Hindi version of the technical term: The manufacturer has asked for an _____ for its new product. (निर्माता ने अपने नए उत्पाद के लिये _____ माँगा है)","तकनीकी शब्द: The manufacturer has asked for an _____ for its new product.","Abnormal profit – असामान्य लाभ","Abnormal increase – असामान्य वृद्धि","Abnormal price – असामान्य मूल्य","Abnormal demand – असामान्य माँग","Abnormal profit – असामान्य लाभ","Abnormal increase – असामान्य वृद्धि","Abnormal price – असामान्य मूल्य","Abnormal demand – असामान्य माँग","3","Abnormal demand means demand exceeding normal supply. Hindi: असामान्य माँग.","Abnormal demand का अर्थ है सामान्य से अधिक माँग। हिंदी: असामान्य माँग।","English","1","0.33"
"Choose the correct Hindi translation of the word: Notification","शब्द का सही हिंदी अनुवाद चुनें: Notification","अधिसूचना","कार्यसूची","कार्यविधि","सूचना","अधिसूचना","कार्यसूची","कार्यविधि","सूचना","0","Notification = अधिसूचना (official notice/order).","Notification = अधिसूचना (आधिकारिक सूचना/आदेश)।","English","1","0.33"
"Choose the appropriate synonym of the word: Boost","शब्द का उचित पर्यायवाची: Boost","Increase","Blow","Setback","Shone","Increase","Blow","Setback","Shone","0","Boost means to increase or improve. Synonym: Increase.","Boost का अर्थ है बढ़ाना। पर्यायवाची: Increase।","English","1","0.33"
"Choose the appropriate synonym of the word: Adage","शब्द का उचित पर्यायवाची: Adage","Proverb","Youth","Supplement","Hardness","Proverb","Youth","Supplement","Hardness","0","Adage means a short statement expressing a general truth. Synonym: Proverb.","Adage का अर्थ है कहावत। पर्यायवाची: Proverb।","English","1","0.33"
"Fill in the blank with the correct determiner: _____ boy and girl should go to college.","सही determiner से रिक्त स्थान भरें: _____ boy and girl should go to college.","All","Enough","Every","Several","All","Enough","Every","Several","2","'Every' is used with singular nouns to mean each individual.","'Every' एकवचन संज्ञा के साथ प्रत्येक व्यक्ति के लिए प्रयुक्त होता है।","English","1","0.33"
